point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
12,012-A,26-00-01-109,2025-05-09 11:25:28,"{'type': 'Point', 'coordinates': [120.300365, 49.458178]}",Hulunbuir_TNH_0,31.7,25.4,17.8,212.0,1214.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.65,11.183,3.864,38.235,True,2025-11-10 03:26:30.642,2025-11-10 03:13:37.954,X01B0801020116,已入库,2025-10-22 09:59:45.164,X01A0801020116,已入库,2025-10-22 09:59:45.162,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
13,013-A,26-00-01-110,2025-05-09 11:31:48,"{'type': 'Point', 'coordinates': [120.301877, 49.458434]}",Hulunbuir_TNH_0,31.9,26.0,18.0,218.0,1238.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,7.02,15.647,6.437,12.667,True,2025-11-10 03:26:30.658,2025-11-10 03:13:37.959,X01B0801020117,已入库,2025-10-22 09:59:45.170,X01A0801020117,已入库,2025-10-22 09:59:45.168,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
14,014-A,26-00-01-111,2025-05-09 11:35:45,"{'type': 'Point', 'coordinates': [120.303466, 49.458702]}",Hulunbuir_TNH_0,30.3,26.2,16.9,193.0,1183.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.97,15.115,5.227,34.559,True,2025-11-10 03:26:30.674,2025-11-10 03:13:37.969,X01B0801020118,已入库,2025-10-22 09:59:45.176,X01A0801020118,已入库,2025-10-22 09:59:45.174,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
15,015-A,26-00-01-112,2025-05-09 11:40:01,"{'type': 'Point', 'coordinates': [120.305442, 49.45903]}",Hulunbuir_TNH_0,29.6,23.7,16.3,190.0,1219.0,014AcclimaTR310N3.217009934,680.8,150725NK0106037,6.78,15.991,9.885,62.667,True,2025-11-10 03:26:30.689,2025-11-10 03:13:37.974,X01B0801020201,已入库,2025-10-22 09:59:45.186,X01A0801020201,已入库,2025-10-22 09:59:45.184,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
16,016-A,26-00-01-113,2025-05-09 11:44:10,"{'type': 'Point', 'coordinates': [120.30598, 49.458718]}",Hulunbuir_TNH_0,25.6,24.0,13.9,163.0,1318.0,014AcclimaTR310N3.217009934,682.5,150725NK0106037,6.65,10.267,5.909,47.059,True,2025-11-10 03:26:30.703,2025-11-10 03:13:37.980,X01B0801020202,已入库,2025-10-22 09:59:45.192,X01A0801020202,已入库,2025-10-22 09:59:45.190,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
17,017-A,26-00-01-114,2025-05-09 12:26:05,"{'type': 'Point', 'coordinates': [120.30432, 49.458429]}",Hulunbuir_TNH_0,32.1,24.2,18.1,223.0,1246.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.63,16.121,11.034,66.667,True,2025-11-10 03:26:30.718,2025-11-10 03:13:37.985,X01B0801020203,已入库,2025-10-22 09:59:45.197,X01A0801020203,已入库,2025-10-22 09:59:45.195,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
18,018-A,26-00-01-115,2025-05-09 12:30:51,"{'type': 'Point', 'coordinates': [120.302325, 49.458078]}",Hulunbuir_TNH_0,32.2,26.9,18.2,220.0,1226.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.54,12.099,9.545,54.412,True,2025-11-10 03:26:30.737,2025-11-10 03:13:37.990,X01B0801020204,已入库,2025-10-22 09:59:45.203,X01A0801020204,已入库,2025-10-22 09:59:45.201,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
19,019-A,26-00-01-116,2025-05-09 12:34:05,"{'type': 'Point', 'coordinates': [120.300336, 49.457723]}",Hulunbuir_TNH_0,32.4,24.9,18.4,226.0,1247.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.51,14.009,12.184,64.0,True,2025-11-10 03:26:30.751,2025-11-10 03:13:37.997,X01B0801020205,已入库,2025-10-22 09:59:45.209,X01A0801020205,已入库,2025-10-22 09:59:45.207,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
20,020-A,26-00-01-117,2025-05-09 12:37:20,"{'type': 'Point', 'coordinates': [120.298631, 49.45742]}",Hulunbuir_TNH_0,32.6,23.3,18.5,231.0,1266.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.49,12.252,8.636,111.029,True,2025-11-10 03:26:30.766,2025-11-10 03:13:38.004,X01B0801020206,已入库,2025-10-22 09:59:45.214,X01A0801020206,已入库,2025-10-22 09:59:45.212,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
21,021-A,26-00-01-118,2025-05-09 12:43:08,"{'type': 'Point', 'coordinates': [120.296928, 49.457115]}",Hulunbuir_TNH_0,30.0,23.5,16.6,221.0,1396.0,014AcclimaTR310N3.217009934,697.7,150725NK0106037,6.46,18.621,8.276,46.667,True,2025-11-10 03:26:30.780,2025-11-10 03:13:38.010,X01B0801020207,已入库,2025-10-22 09:59:45.225,X01A0801020207,已入库,2025-10-22 09:59:45.223,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
