point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
12,012-A,26-00-01-057,2025-05-08 11:19:19,"{'type': 'Point', 'coordinates': [120.309079, 49.456128]}",Hulunbuir_TNH_0,24.5,23.0,13.2,151.0,1286.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,5.96,9.656,3.438,8.333,True,2025-11-10 03:26:29.846,2025-11-10 03:13:37.608,X01B0801010201,已入库,2025-10-22 09:59:44.783,X01A0801010201,已入库,2025-10-22 09:59:44.781,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
13,013-A,26-00-01-058,2025-05-08 11:23:26,"{'type': 'Point', 'coordinates': [120.307279, 49.455717]}",Hulunbuir_TNH_0,25.1,22.2,13.5,165.0,1356.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.39,7.371,9.818,10.0,True,2025-11-10 03:26:29.865,2025-11-10 03:13:37.614,X01B0801010202,已入库,2025-10-22 09:59:44.789,X01A0801010202,已入库,2025-10-22 09:59:44.787,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
14,014-A,26-00-01-059,2025-05-08 11:28:00,"{'type': 'Point', 'coordinates': [120.305592, 49.455341]}",Hulunbuir_TNH_0,25.4,22.4,13.6,169.0,1371.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.33,5.458,3.438,0.0,True,2025-11-10 03:26:29.881,2025-11-10 03:13:37.620,X01B0801010203,已入库,2025-10-22 09:59:44.795,X01A0801010203,已入库,2025-10-22 09:59:44.793,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
15,015-A,26-00-01-060,2025-05-08 11:32:20,"{'type': 'Point', 'coordinates': [120.303724, 49.454904]}",Hulunbuir_TNH_0,22.6,22.0,12.1,154.0,1495.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.39,8.879,4.909,39.167,True,2025-11-10 03:26:29.895,2025-11-10 03:13:37.626,X01B0801010204,已入库,2025-10-22 09:59:44.809,X01A0801010204,已入库,2025-10-22 09:59:44.806,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
16,016-A,26-00-01-061,2025-05-08 11:36:22,"{'type': 'Point', 'coordinates': [120.301983, 49.454488]}",Hulunbuir_TNH_0,23.6,22.2,12.6,167.0,1515.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.29,7.366,5.313,0.0,True,2025-11-10 03:26:29.909,2025-11-10 03:13:37.632,X01B0801010205,已入库,2025-10-22 09:59:44.816,X01A0801010205,已入库,2025-10-22 09:59:44.813,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
17,017-A,26-00-01-062,2025-05-08 11:41:32,"{'type': 'Point', 'coordinates': [120.300195, 49.454082]}",Hulunbuir_TNH_0,20.2,21.5,10.8,141.0,1605.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.17,8.879,8.364,0.0,True,2025-11-10 03:26:29.924,2025-11-10 03:13:37.638,X01B0801010206,已入库,2025-10-22 09:59:44.822,X01A0801010206,已入库,2025-10-22 09:59:44.820,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
18,018-A,26-00-01-063,2025-05-08 11:44:06,"{'type': 'Point', 'coordinates': [120.29848, 49.45368]}",Hulunbuir_TNH_0,30.1,22.3,16.6,257.0,1604.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.15,9.084,3.125,37.5,True,2025-11-10 03:26:29.938,2025-11-10 03:13:37.649,X01B0801010207,已入库,2025-10-22 09:59:44.828,X01A0801010207,已入库,2025-10-22 09:59:44.826,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
19,019-A,26-00-01-064,2025-05-08 13:11:30,"{'type': 'Point', 'coordinates': [120.298667, 49.453197]}",Hulunbuir_TNH_0,25.0,19.3,13.4,175.0,1459.0,014AcclimaTR310N3.217009934,699.6,150725NK0106049,6.11,9.741,5.636,0.0,True,2025-11-10 03:26:29.952,2025-11-10 03:13:37.655,X01B0801010208,已入库,2025-10-22 09:59:44.834,X01A0801010208,已入库,2025-10-22 09:59:44.832,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
20,020-A,26-00-01-065,2025-05-08 13:18:41,"{'type': 'Point', 'coordinates': [120.300355, 49.453646]}",Hulunbuir_TNH_0,25.1,20.6,13.5,181.0,1501.0,014AcclimaTR310N3.217009934,696.9,150725NK0106049,5.94,6.565,17.5,35.0,True,2025-11-10 03:26:29.967,2025-11-10 03:13:37.662,X01B0801010209,已入库,2025-10-22 09:59:44.839,X01A0801010209,已入库,2025-10-22 09:59:44.837,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
21,021-A,26-00-01-066,2025-05-08 13:24:20,"{'type': 'Point', 'coordinates': [120.302236, 49.454037]}",Hulunbuir_TNH_0,25.1,21.0,13.5,180.0,1492.0,014AcclimaTR310N3.217009934,679.7,150725NK0106049,6.25,10.086,13.273,55.0,True,2025-11-10 03:26:29.982,2025-11-10 03:13:37.669,X01B0801010210,已入库,2025-10-22 09:59:44.850,X01A0801010210,已入库,2025-10-22 09:59:44.848,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
